TenureGroup,CityTier,用户数,流失人数,流失率,平均订单数,样本提示
0-10,2,115,34,0.2956521739130435,1.8695652173913044,可观察
0-10,3,910,212,0.23296703296703297,2.821111111111111,可观察
0-10,1,1825,318,0.17424657534246576,2.6478163493840987,可观察
11-20,3,445,52,0.11685393258426967,4.059701492537314,可观察
11-20,1,990,50,0.050505050505050504,3.5878524945770067,可观察
21-30,1,509,10,0.019646365422396856,3.63718820861678,可观察
11-20,2,84,0,0.0,3.0595238095238093,可观察
21-30,2,25,0,0.0,5.285714285714286,小样本
21-30,3,166,0,0.0,4.178082191780822,可观察
30+,1,30,0,0.0,3.4285714285714284,可观察
30+,2,3,0,0.0,3.0,小样本
30+,3,20,0,0.0,5.166666666666667,小样本
